Quarterly figures are available in the 2.1.1 tab and annual figures are avaliable in the 2.1.2 tab.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"Note 1. Aggregate of individual solid fuels, gas, electricity and liquid fuels indices.",,,,,,,,,,,,,,,,
"Note 2. ULSP, ULSD & motor oil. Other fuels are as defined by ONS. See the Methodology tab for further details.",,,,,,,,,,,,,,,,
Note 3. ONS update the GDP Deflator on a regular basis.  As such the real terms price indices are subject to regular revisions to the whole series.,,,,,,,,,,,,,,,,
"             As the quarterly GDP deflator is used for months with a quarter, real price indices will be updated once a quarter's GDP deflator is available and are therefore less timely than the current price indices.",,,,,,,,,,,,,,,,
"Freeze panes are turned on. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt,W,F]",,,,,,,,,,,,,,,,
Please see the cover sheet for a proposed methodology change to this table,,,,,,,,,,,,,,,,
Source: Office for National Statistics (ONS),,,,,,,,,,,,,,,,
Year and dataset code row,Month,Current price indices: Solid fuels,Current price indices: Gas ,Current price indices: Electricity ,Current price indices: Liquid fuels,"Current price indices: Domestic fuels
[Note 1]","Current price indices: Motor fuel & oil
[Note 2]","Current price indices: All Items CPI 2010=100
",Real price indices: Solid fuels [Note 3],Real price indices: Gas [Note 3],Real price indices: Electricity [Note 3],Real price indices: Liquid fuels [Note 3],"Real price indices: Domestic fuels
[Note 1, 3]","Real price indices: Motor fuel & oil
[Note 2, 3]","Real price indices: All Items CPI 2010=100
[Note 3]",GDP Deflator     2010=100 [Note 3]
Dataset identifier code,,D7DW,D7DU,D7DT,D7DV,D7CH,D7EC,D7BT,,,,,,,,
2006,May,66.17480136208854,71.37203166226914,77.72087067861717,77.10547833197057,74.96790757381258,82.5381679389313,89.37360178970918,72.2,77.9,84.8,84.1,81.8,90.1,97.5,91.64345403899722
2006,June,64.9262202043133,73.35092348284961,79.6414852752881,77.02371218315618,76.6367137355584,81.77480916030535,89.5973154362416,70.8,80,86.9,84,83.6,89.2,97.8,91.64345403899722
2006,July,64.81271282633372,74.14248021108179,80.40973111395647,79.47669664758791,77.53530166880616,83.20610687022901,89.48545861297539,70,80.1,86.8,85.8,83.7,89.8,96.6,92.61838440111421
2006,August,65.38024971623156,74.93403693931398,81.04993597951345,77.75960752248568,78.17715019255455,83.68320610687023,89.93288590604027,70.6,80.9,87.5,84,84.4,90.4,97.1,92.61838440111421
2006,September,66.17480136208854,76.78100263852244,82.0742637644046,73.67130008176615,79.20410783055199,78.53053435114504,90.04474272930648,71.4,82.9,88.6,79.5,85.5,84.8,97.2,92.61838440111421
2006,October,69.5800227014756,80.47493403693932,84.25096030729834,67.62060506950122,81.64313222079589,74.33206106870229,90.15659955257269,75.1,86.9,91,73,88.2,80.3,97.3,92.61838440111421
2006,November,70.37457434733258,82.98153034300792,85.91549295774648,64.51349141455438,83.4403080872914,74.04580152671755,90.38031319910513,76,89.6,92.8,69.7,90.1,79.9,97.6,92.61838440111421
2006,December,70.37457434733258,84.5646437994723,86.93982074263765,67.62060506950122,84.85237483953786,75.76335877862597,90.93959731543623,76,91.3,93.9,73,91.6,81.8,98.2,92.61838440111421
2007,January,70.48808172531214,84.82849604221636,87.32394366197184,62.87816843826657,84.98074454428755,74.90458015267177,90.15659955257269,76,91.5,94.1,67.8,91.6,80.8,97.2,92.75766016713092
2007,February,70.71509648127129,85.09234828496042,87.58002560819463,64.34995911692559,85.36585365853658,74.33206106870229,90.60402684563758,76.2,91.7,94.4,69.4,92,80.1,97.7,92.75766016713092
2007,March,70.71509648127129,84.43271767810026,87.58002560819463,66.55764513491415,85.10911424903722,76.14503816793892,91.05145413870245,76.2,91,94.4,71.8,91.8,82.1,98.2,92.75766016713092
2007,April,70.71509648127129,82.05804749340369,86.81177976952625,69.33769419460344,83.69704749679076,78.91221374045801,91.27516778523488,75.1,87.2,92.2,73.6,88.9,83.8,96.9,94.15041782729804
2007,May,70.37457434733258,79.41952506596307,85.78745198463508,69.01062959934588,82.02824133504492,81.48854961832062,91.49888143176733,74.7,84.4,91.1,73.3,87.1,86.6,97.2,94.15041782729804
2007,June,70.03405221339388,77.17678100263853,84.63508322663252,70.72771872444808,80.48780487804878,82.44274809160305,91.72259507829978,74.4,82,89.9,75.1,85.5,87.6,97.4,94.15041782729804
2007,July,69.9205448354143,75.46174142480211,83.61075544174136,72.60834014717906,79.20410783055199,82.15648854961832,91.16331096196866,74.5,80.4,89.1,77.3,84.4,87.5,97.1,93.87186629526464
2007,August,70.03405221339388,74.40633245382587,83.09859154929579,71.13654946852004,78.5622593068036,81.6793893129771,91.49888143176733,74.6,79.3,88.5,75.8,83.7,87,97.5,93.87186629526464
2007,September,70.82860385925085,73.87862796833772,83.09859154929579,75.47015535568275,78.43388960205391,81.10687022900763,91.61073825503355,75.5,78.7,88.5,80.4,83.6,86.4,97.6,93.87186629526464
2007,October,72.8717366628831,73.61477572559366,82.97055057618438,78.25020441537204,78.43388960205391,83.3969465648855,92.05816554809843,77.6,78.4,88.4,83.4,83.6,88.8,98.1,93.87186629526464
2007,November,74.23382519863793,73.61477572559366,82.97055057618438,88.79803761242844,78.81899871630294,86.6412213740458,92.28187919463086,79.1,78.4,88.4,94.6,84,92.3,98.3,93.87186629526464
2007,December,75.70942111237231,73.7467018469657,82.97055057618438,89.2886345053148,78.94736842105262,88.16793893129771,92.84116331096196,80.7,78.6,88.4,95.1,84.1,93.9,98.9,93.87186629526464
2008,January,76.61748013620885,74.14248021108179,83.35467349551855,92.72281275551923,79.46084724005134,89.31297709923663,92.17002237136465,80.8,78.2,87.9,97.8,83.8,94.2,97.2,94.84679665738162
2008,February,76.95800227014756,83.37730870712402,92.18950064020487,92.88634505314799,87.8048780487805,89.50381679389314,92.84116331096196,81.1,87.9,97.2,97.9,92.6,94.4,97.9,94.84679665738162
2008,March,77.29852440408627,83.37730870712402,92.18950064020487,106.05069501226492,88.44672657252889,91.69847328244275,93.28859060402685,81.5,87.9,97.2,111.8,93.3,96.7,98.4,94.84679665738162
2008,April,77.52553916004541,85.09234828496042,94.1101152368758,117.25265739983648,90.62901155327341,93.60687022900763,93.95973154362416,80.7,88.5,97.9,122,94.3,97.4,97.8,96.10027855153204
2008,May,79.11464245175938,85.09234828496042,94.1101152368758,127.22812755519215,91.27086007702181,97.4236641221374,94.63087248322147,82.3,88.5,97.9,132.4,95,101.4,98.5,96.10027855153204
2008,June,80.70374574347332,85.09234828496042,94.1101152368758,132.86999182338513,91.52759948652117,102.19465648854961,95.30201342281879,84,88.5,97.9,138.3,95.2,106.3,99.2,96.10027855153204
2008,July,81.4982973893303,85.22427440633244,94.1101152368758,139.57481602616517,92.0410783055199,103.33969465648856,95.19015659955255,83.5,87.3,96.4,143,94.3,105.8,97.5,97.63231197771587
2008,August,82.40635641316686,95.11873350923481,98.07938540332907,118.31561733442355,97.30423620025674,98.56870229007633,95.86129753914989,84.4,97.4,100.5,121.2,99.7,101,98.2,97.63231197771587
2008,September,89.78433598183881,110.8179419525066,108.19462227912933,115.29026982829109,109.37098844672657,97.04198473282443,96.30872483221475,92,113.5,110.8,118.1,112,99.4,98.6,97.63231197771587
2008,October,98.18388195232691,111.08179419525067,108.9628681177977,98.52820932134097,109.24261874197687,91.03053435114504,96.08501118568232,99.6,112.7,110.5,99.9,110.8,92.3,97.4,98.60724233983287
2008,November,98.97843359818388,110.94986807387863,108.9628681177977,90.51512673753066,108.85750962772785,83.49236641221374,95.9731543624161,100.4,112.5,110.5,91.8,110.4,84.7,97.3,98.60724233983287
2008,December,99.88649262202044,110.94986807387863,108.9628681177977,80.53965658217498,108.34403080872914,78.33969465648855,95.63758389261744,101.3,112.5,110.5,81.7,109.9,79.4,97,98.60724233983287
2009,January,101.02156640181612,110.94986807387863,108.70678617157492,79.31316434995912,108.21566110397944,75.76335877862597,94.96644295302013,102.4,112.5,110.2,80.4,109.7,76.8,96.3,98.60724233983287
2009,February,101.13507377979569,110.94986807387863,108.70678617157492,74.89779231398201,107.9589216944801,78.2442748091603,95.74944071588367,102.6,112.5,110.2,76,109.5,79.3,97.1,98.60724233983287
2009,March,101.02156640181612,106.2005277044855,108.19462227912933,67.53883892068683,104.8780487804878,78.81679389312977,95.9731543624161,102.4,107.7,109.7,68.5,106.4,79.9,97.3,98.60724233983287
2009,April,101.02156640181612,105.14511873350925,102.68886043533931,71.545380212592,102.31065468549423,81.96564885496184,96.19686800894854,102.3,106.5,104,72.5,103.6,83,97.4,98.74651810584959
2009,May,99.31895573212259,105.14511873350925,100.5121638924456,71.62714636140637,101.2836970474968,83.87404580152672,96.64429530201343,100.6,106.5,101.8,72.5,102.6,84.9,97.9,98.74651810584959
2009,June,98.52440408626562,105.14511873350925,100.5121638924456,79.23139820114473,101.66880616174583,87.11832061068702,96.97986577181209,99.8,106.5,101.8,80.2,103,88.2,98.2,98.74651810584959
2009,July,97.72985244040862,104.6174142480211,100.5121638924456,70.89125102207686,100.89858793324773,87.6908396946565,96.97986577181209,98.6,105.5,101.4,71.5,101.7,88.4,97.8,99.16434540389973
2009,August,98.29738933030647,104.6174142480211,100.5121638924456,78.98609975470156,101.41206675224646,88.64503816793894,97.31543624161073,99.1,105.5,101.4,79.7,102.3,89.4,98.1,99.16434540389973
2009,September,98.52440408626562,104.6174142480211,100.5121638924456,77.10547833197057,101.2836970474968,90.64885496183206,97.42729306487693,99.4,105.5,101.4,77.8,102.1,91.4,98.2,99.16434540389973
2009,October,100.56753688989784,104.48548812664909,100.12804097311141,82.01144726083402,101.41206675224646,90.0763358778626,97.53914988814317,102.3,106.3,101.8,83.4,103.1,91.6,99.2,98.32869080779943
2009,November,101.36208853575484,104.48548812664909,100.12804097311141,84.30089942763695,101.54043645699613,92.55725190839695,97.87472035794183,103.1,106.3,101.8,85.7,103.3,94.1,99.5,98.32869080779943
2009,December,101.47559591373441,104.48548812664909,100.12804097311141,86.18152085036796,101.66880616174583,92.74809160305344,98.43400447427292,103.2,106.3,101.8,87.6,103.4,94.3,100.1,98.32869080779943
2010,January,101.36208853575484,104.6174142480211,100.12804097311141,103.5977105478332,102.56739409499357,94.84732824427482,98.2102908277405,101.6,104.9,100.4,103.9,102.9,95.1,98.5,99.72144846796657
2010,February,101.47559591373441,101.58311345646437,100.12804097311141,90.59689288634505,100.5134788189987,95.61068702290076,98.65771812080537,101.8,101.9,100.4,90.8,100.8,95.9,98.9,99.72144846796657
2010,March,101.47559591373441,101.58311345646437,100.12804097311141,96.97465249386754,100.77021822849808,98.18702290076337,99.21700223713647,101.8,101.9,100.4,97.2,101.1,98.5,99.5,99.72144846796657
2010,April,101.47559591373441,98.68073878627969,99.87195902688862,100.08176614881438,99.3581514762516,102.57633587786259,99.77628635346755,101.6,98.8,100,100.2,99.5,102.7,99.9,99.8607242339833
2010,May,99.09194097616346,98.68073878627969,99.87195902688862,100.08176614881438,99.22978177150192,102.95801526717558,100,99.2,98.8,100,100.2,99.4,103.1,100.1,99.8607242339833
