msoa_id,ring_id,order,x,y,Eligible,Borough
E02000985,E02000985_0,35,372391.0,413235.0,0,Bolton
E02000985,E02000985_0,36,372358.10250000004,413145.38049999997,0,Bolton
E02000985,E02000985_0,37,372506.7039999999,413009.18799999915,0,Bolton
E02000985,E02000985_0,38,372460.5360000003,412962.5309999995,0,Bolton
E02000985,E02000985_0,39,372402.2539999997,413072.44099999964,0,Bolton
E02000985,E02000985_0,40,372284.051,413044.48399999924,0,Bolton
E02000985,E02000985_0,41,372260.9780000001,412925.71800000034,0,Bolton
E02000985,E02000985_0,42,372295.19400000013,412915.7100000009,0,Bolton
E02000985,E02000985_0,43,372342.4570000004,412814.4269999992,0,Bolton
E02000985,E02000985_0,44,372411.5939999996,412698.2809999995,0,Bolton
E02000985,E02000985_0,45,372545.0650000004,412625.80599999987,0,Bolton
E02000985,E02000985_0,46,372572.5939999996,412597.7190000005,0,Bolton
E02000985,E02000985_0,47,372562.6169999996,412459.82499999925,0,Bolton
E02000985,E02000985_0,48,372565.6869999999,412407.0600000005,0,Bolton
E02000985,E02000985_0,49,372564.12200000044,412359.61400000006,0,Bolton
E02000985,E02000985_0,50,372549.8119999999,412189.5,0,Bolton
E02000985,E02000985_0,51,372446.8119999999,412022.18700000085,0,Bolton
E02000985,E02000985_0,52,372232.80700000003,412021.30599999987,0,Bolton
E02000985,E02000985_0,53,372189.09499999974,411938.81200000085,0,Bolton
E02000985,E02000985_0,54,372192.15500000026,411874.3849999998,0,Bolton
E02000985,E02000985_0,55,372229.6869999999,411799.18700000085,0,Bolton
E02000985,E02000985_0,56,372394.8119999999,411794.9059999995,0,Bolton
E02000985,E02000985_0,57,372403.3439999996,411680.61400000006,0,Bolton
E02000985,E02000985_0,58,372433.4230000004,411674.11199999973,0,Bolton
E02000985,E02000985_0,59,372479.1229999997,411772.04099999927,0,Bolton
E02000985,E02000985_0,60,372545.9570000004,411779.8509999998,0,Bolton
E02000985,E02000985_0,61,372752.9469999997,411765.39499999955,0,Bolton
E02000985,E02000985_0,62,372798.0,411757.0,0,Bolton
E02000985,E02000985_0,63,372798.7879999997,411700.591,0,Bolton
E02000985,E02000985_0,64,372895.6090000002,411677.8809999991,0,Bolton
E02000985,E02000985_0,65,372908.0,411706.0,0,Bolton
E02000985,E02000985_0,66,373017.0360000003,411658.90100000054,0,Bolton
E02000985,E02000985_0,67,373065.95299999975,411793.3440000005,0,Bolton
E02000985,E02000985_0,68,373122.55700000003,411776.9240000006,0,Bolton
E02000985,E02000985_0,69,372971.1869999999,411454.2949999999,0,Bolton
E02000985,E02000985_0,70,373003.7039999999,411439.16599999927,0,Bolton
E02000985,E02000985_0,71,373034.8729999997,411496.46199999936,0,Bolton
E02000985,E02000985_0,72,373124.7170000002,411513.7190000005,0,Bolton
E02000985,E02000985_0,73,373181.1030000001,411637.43700000085,0,Bolton
E02000985,E02000985_0,74,373216.0,411694.0,0,Bolton
E02000985,E02000985_0,75,373310.0,411709.0,0,Bolton
E02000985,E02000985_0,76,373383.0,411788.0,0,Bolton
E02000985,E02000985_0,77,373390.0,411878.0,0,Bolton
E02000985,E02000985_0,78,373519.24399999995,411856.7929999996,0,Bolton
E02000985,E02000985_0,79,373543.63100000005,411898.65100000054,0,Bolton
E02000985,E02000985_0,80,373701.68599999975,411829.65699999966,0,Bolton
E02000985,E02000985_0,81,373731.65699999966,411855.2479999997,0,Bolton
E02000985,E02000985_0,82,373734.8099999996,411907.32499999925,0,Bolton
E02000985,E02000985_0,83,373804.72200000007,411916.0390000008,0,Bolton
E02000985,E02000985_0,84,373827.36099999957,411978.6060000006,0,Bolton
E02000985,E02000985_0,85,373879.07799999975,411937.08850000054,0,Bolton
E02000985,E02000985_0,86,373901.80399999954,411967.6070000008,0,Bolton
E02000985,E02000985_0,87,374003.70299999975,411864.31599999964,0,Bolton
E02000985,E02000985_0,88,374027.49700000044,411899.81299999915,0,Bolton
E02000985,E02000985_0,89,373999.40699999966,411940.2890000008,0,Bolton
E02000985,E02000985_0,90,374094.9139999999,412033.9539999999,0,Bolton
E02000985,E02000985_0,91,373939.4519999996,412095.93400000036,0,Bolton
E02000985,E02000985_0,92,373941.9910000004,412126.86250000075,0,Bolton
E02000985,E02000985_0,93,373799.9589999998,412150.9780000001,0,Bolton
E02000985,E02000985_0,94,373791.2249999996,412191.9969999995,0,Bolton
E02000985,E02000985_0,95,373791.85199999996,412191.86700000055,0,Bolton
