MSOA21CD,LAT,LONG,msoa21cd,ladnm,Eligible,In_Sample
E02001155,53.54798889160156,-2.209049940109253,E02001155,Rochdale,1,0
E02001156,53.538238525390625,-2.191620111465454,E02001156,Rochdale,0,0
E02001157,53.53593063354492,-2.425600051879883,E02001157,Salford,1,1
E02001158,53.53097915649414,-2.4095499515533447,E02001158,Salford,1,1
E02001159,53.52939987182617,-2.3870699405670166,E02001159,Salford,1,1
E02001160,53.52552032470703,-2.4366800785064697,E02001160,Salford,1,1
E02001161,53.5296516418457,-2.3374099731445312,E02001161,Salford,0,1
E02001162,53.51927185058594,-2.3403398990631104,E02001162,Salford,1,1
E02001163,53.51839828491211,-2.3866100311279297,E02001163,Salford,0,1
E02001164,53.51580810546875,-2.31072998046875,E02001164,Salford,1,1
E02001165,53.51314926147461,-2.3556900024414062,E02001165,Salford,1,1
E02001166,53.510719299316406,-2.2560698986053467,E02001166,Salford,1,1
E02001167,53.50926971435547,-2.2819299697875977,E02001167,Salford,1,1
E02001168,53.50320816040039,-2.3338699340820312,E02001168,Salford,1,1
E02001169,53.49467086791992,-2.407989978790283,E02001169,Salford,0,1
E02001170,53.505001068115234,-2.37253999710083,E02001170,Salford,0,1
E02001171,53.50429153442383,-2.320189952850342,E02001171,Salford,0,1
E02001173,53.49876022338867,-2.287329912185669,E02001173,Salford,1,1
E02001174,53.497379302978516,-2.3174400329589844,E02001174,Salford,0,1
E02001175,53.49005889892578,-2.3682498931884766,E02001175,Salford,1,1
E02001176,53.49018859863281,-2.3437299728393555,E02001176,Salford,1,1
E02001177,53.48773956298828,-2.3127999305725098,E02001177,Salford,1,1
E02001179,53.48706817626953,-2.2993500232696533,E02001179,Salford,1,1
E02001180,53.48598098754883,-2.2856500148773193,E02001180,Salford,1,1
E02001181,53.47697067260742,-2.387049913406372,E02001181,Salford,1,1
E02001182,53.47901153564453,-2.3454198837280273,E02001182,Salford,1,1
E02001183,53.47597885131836,-2.3668899536132812,E02001183,Salford,1,1
E02001185,53.45969009399414,-2.4144599437713623,E02001185,Salford,0,1
E02001186,53.443599700927734,-2.4498701095581055,E02001186,Salford,0,1
E02001187,53.4445915222168,-2.153209924697876,E02001187,Stockport,0,1
E02001188,53.443851470947266,-2.166110038757324,E02001188,Stockport,1,1
E02001189,53.43436050415039,-2.15939998626709,E02001189,Stockport,0,1
E02001190,53.430511474609375,-2.138079881668091,E02001190,Stockport,1,1
E02001191,53.429290771484375,-2.0945498943328857,E02001191,Stockport,0,1
