Borough,x,y,xend,yend
Bolton,361850.9000000004,409102.3819999993,361894.1809999999,409111.5669999998
Bolton,361894.1809999999,409111.5669999998,362024.3119999999,409049.5
Bolton,362024.3119999999,409049.5,362137.8080000002,408771.6919999998
Bolton,362137.8080000002,408771.6919999998,362205.60699999984,408758.7770000007
Bolton,362205.60699999984,408758.7770000007,362210.6919999998,408718.8120000009
Bolton,362210.6919999998,408718.8120000009,362443.3119999999,408539.9059999995
Bolton,362443.3119999999,408539.9059999995,362447.0939999996,408483.5
Bolton,362447.0939999996,408483.5,362492.7810000004,408472.50100000016
Bolton,362923.2810000004,411485.3110000007,363041.8370000003,411515.1459999997
Bolton,362853.5599999996,411429.82799999975,362923.2810000004,411485.3110000007
Bolton,362651.369,411301.6760000009,362853.5599999996,411429.82799999975
Bolton,362369.00100000016,411138.4039999992,362651.369,411301.6760000009
Bolton,362366.1849999996,411135.5059999991,362369.00100000016,411138.4039999992
Bolton,362105.875,411008.875,362366.1849999996,411135.5059999991
Bolton,362105.875,411008.875,362109.7074999996,411066.3235
Bolton,362014.7230000002,411108.1799999997,362109.7074999996,411066.3235
Bolton,362014.7230000002,411108.1799999997,362024.5939999996,411187.5
Bolton,361976.5029999996,411212.8080000002,362024.5939999996,411187.5
Bolton,361976.5029999996,411212.8080000002,362003.5360000003,411243.67899999954
Bolton,361916.29399999976,411276.05849999934,362003.5360000003,411243.67899999954
Bolton,361913.99899999984,411354.9370000009,361916.29399999976,411276.05849999934
Bolton,361833.40500000026,411416.0,361913.99899999984,411354.9370000009
Bolton,361833.40500000026,411416.0,361852.4979999997,411456.5950000007
Bolton,361816.5,411517.2190000005,361852.4979999997,411456.5950000007
Bolton,361786.4983000001,411551.5056999996,361816.5,411517.2190000005
Bolton,361747.8119999999,411534.5,361786.4983000001,411551.5056999996
Bolton,361655.25,411649.75,361747.8119999999,411534.5
Bolton,361655.25,411649.75,361685.5619999999,411771.9059999995
Bolton,361685.5619999999,411771.9059999995,361712.31099999975,411777.9560000002
Bolton,361670.8119999999,411817.0309999995,361712.31099999975,411777.9560000002
Bolton,361670.5,411874.6870000009,361670.8119999999,411817.0309999995
Bolton,361634.943,411871.6109999996,361670.5,411874.6870000009
Bolton,361634.943,411871.6109999996,361649.1220000005,411904.3609999996
Bolton,361593.8990000002,411923.7424999997,361649.1220000005,411904.3609999996
Bolton,361593.8990000002,411923.7424999997,361617.3119999999,411949.1870000009
Bolton,361573.1940000001,411960.307,361617.3119999999,411949.1870000009
Bolton,361556.7810000004,412040.8100000005,361573.1940000001,411960.307
Bolton,361494.45550000016,412069.6940000001,361556.7810000004,412040.8100000005
Bolton,361494.45550000016,412069.6940000001,361530.6869999999,412162.1870000009
Bolton,361491.5959999999,412169.71800000034,361530.6869999999,412162.1870000009
Bolton,361454.0834999997,412235.4110000003,361491.5959999999,412169.71800000034
Bolton,361418.31400000025,412229.0969999992,361454.0834999997,412235.4110000003
Bolton,361418.31400000025,412229.0969999992,361419.909,412266.7430000007
Bolton,361375.4060000004,412243.4059999995,361419.909,412266.7430000007
Bolton,361293.7479999997,412302.5360000003,361375.4060000004,412243.4059999995
Bolton,361232.9419999998,412421.0899999999,361293.7479999997,412302.5360000003
Bolton,361232.9419999998,412421.0899999999,361271.2810000004,412475.2190000005
Bolton,361230.3485000003,412531.2750000004,361271.2810000004,412475.2190000005
Bolton,361189.5,412509.0940000005,361230.3485000003,412531.2750000004
Bolton,361148.125,412529.5309999995,361189.5,412509.0940000005
Bolton,361148.125,412529.5309999995,361149.3119999999,412593.1860000007
Bolton,361075.90500000026,412556.2890000008,361149.3119999999,412593.1860000007
Bolton,361067.0,412619.7809999995,361075.90500000026,412556.2890000008
Bolton,375165.1880000001,409564.5,375176.3779999996,409527.8139999993
Bolton,375165.1880000001,409564.5,375201.0352999997,409594.7800999992
Bolton,375201.0352999997,409594.7800999992,375255.6869999999,409988.5940000005
Bolton,375216.8130000001,410028.0,375255.6869999999,409988.5940000005
Bolton,375204.4994000001,410108.39660000056,375216.8130000001,410028.0
Bolton,362492.7810000004,408472.50100000016,362631.2599999998,408302.2740000002
Bolton,362631.2599999998,408302.2740000002,362632.6869999999,408154.5
Bolton,362532.6869999999,408036.3120000009,362632.6869999999,408154.5
Bolton,362473.5939999996,407819.5,362532.6869999999,408036.3120000009
Bolton,362473.5939999996,407819.5,362493.49899999984,407797.9049999993
Bolton,362445.8119999999,407715.4059999995,362493.49899999984,407797.9049999993
Bolton,362445.8119999999,407715.4059999995,362618.7460000003,407634.6449999996
Bolton,362618.7460000003,407634.6449999996,362712.2189999996,407597.01300000027
Bolton,362712.2189999996,407597.01300000027,362743.8119999999,407542.9059999995
Bolton,362743.8119999999,407542.9059999995,362816.7110000001,407532.99599999934
Bolton,362816.7110000001,407532.99599999934,362908.3119999999,407432.9059999995
Bolton,362908.3119999999,407432.9059999995,363002.8720000005,407415.6594999992
Bolton,363002.8720000005,407415.6594999992,363028.4900000002,407309.4810000006
Bolton,362794.5,407219.0,363028.4900000002,407309.4810000006
Bolton,362778.50600000005,407137.0209999997,362794.5,407219.0
Bolton,362778.50600000005,407137.0209999997,362828.5939999996,407072.5
Bolton,362828.5939999996,407072.5,362849.25,406911.44999999925
Bolton,362849.25,406911.44999999925,363001.4119999996,406722.1129999999
Bolton,375333.49899999984,408368.5969999992,375341.73199999984,408280.8849999998
Bolton,375333.49899999984,408368.5969999992,375345.9060000004,408449.6870000009
Bolton,375345.9060000004,408449.6870000009,375422.5789999999,408547.8100000005
Bolton,375422.5789999999,408547.8100000005,375423.2290000003,408634.8469999992
Bolton,375386.81099999975,408659.3120000009,375423.2290000003,408634.8469999992
Bolton,375348.8894999996,409000.5299999993,375386.81099999975,408659.3120000009
Bolton,375299.0949999997,409033.8120000009,375348.8894999996,409000.5299999993
Bolton,375282.6880000001,409101.7809999995,375299.0949999997,409033.8120000009
Bolton,375282.6880000001,409101.7809999995,375293.0789999999,409223.4710000008
Bolton,375293.0789999999,409223.4710000008,375303.09300000034,409357.8090000004
Bolton,375176.3779999996,409527.8139999993,375303.09300000034,409357.8090000004
Bolton,375626.6090000002,408268.99259999953,375652.9022000004,408254.3641999997
Bolton,375530.0,408302.9059999995,375626.6090000002,408268.99259999953
Bolton,375341.73199999984,408280.8849999998,375530.0,408302.9059999995
Bolton,375347.0029999996,406428.4049999993,375464.6809999999,406472.5979999993
Bolton,375464.6809999999,406472.5979999993,375742.6880000001,406352.9059999995
Bolton,375742.6880000001,406352.9059999995,375835.9060000004,406381.7190000005
Bolton,375835.9060000004,406381.7190000005,375904.6440000003,406469.7860000003
Bolton,375904.6440000003,406469.7860000003,375988.0939999996,406598.5
Bolton,375988.0939999996,406598.5,376108.79,406668.1109999996
Bolton,376108.79,406668.1109999996,376150.4060000004,406600.0940000005
Bolton,376150.4060000004,406600.0940000005,376179.8130000001,406368.0
Bolton,376179.8130000001,406368.0,376237.4060000004,406308.3129999992
Bolton,376237.4060000004,406308.3129999992,376298.5,406306.1870000009
Bolton,376298.5,406306.1870000009,376396.4060000004,406386.0
Bolton,376396.4060000004,406386.0,376441.6869999999,406475.1870000009
Bolton,376441.6869999999,406475.1870000009,376469.6830000002,406667.99200000055
Bolton,376469.6830000002,406667.99200000055,376519.40500000026,406732.0969999992
Bolton,376479.5949999997,406813.3080000002,376519.40500000026,406732.0969999992
Bolton,376431.5020000003,406858.8100000005,376479.5949999997,406813.3080000002
Bolton,376431.5020000003,406858.8100000005,376503.5209999997,407046.2074999996
Bolton,376503.5209999997,407046.2074999996,376512.9040000001,407183.47619999945
Bolton,376436.34300000034,407436.19999999925,376512.9040000001,407183.47619999945
Bolton,376268.08800000045,407836.8239999991,376436.34300000034,407436.19999999925
Bolton,376266.30200000014,407845.8939999994,376268.08800000045,407836.8239999991
Bolton,376190.71,408025.21800000034,376266.30200000014,407845.8939999994
Bolton,376009.3130000001,408030.91000000015,376190.71,408025.21800000034
Bolton,375847.5,408039.4059999995,376009.3130000001,408030.91000000015
Bolton,375782.0329999998,408109.33699999936,375847.5,408039.4059999995
Bolton,375675.48900000006,408202.1879999992,375782.0329999998,408109.33699999936
Bolton,375652.9022000004,408254.3641999997,375675.48900000006,408202.1879999992
Bolton,368954.4040000001,404037.8120000009,369047.5939999996,404004.0
Bolton,369047.5939999996,404004.0,369203.5939999996,403882.9059999995
Bolton,369203.5939999996,403882.9059999995,369310.3113000002,403882.43850000016
Bolton,369310.3113000002,403882.43850000016,369503.0939999996,403881.5940000005
Bolton,369503.0939999996,403881.5940000005,369870.31099999975,403733.5
Bolton,369870.31099999975,403733.5,370193.193,403647.4949999992
Bolton,370193.193,403647.4949999992,370398.9060000004,403593.6870000009
Bolton,370398.9060000004,403593.6870000009,370412.90699999966,403726.0
Bolton,370412.90699999966,403726.0,370626.0939999996,403897.7190000005
Bolton,370626.0939999996,403897.7190000005,370643.0,403966.0940000005
Bolton,370643.0,403966.0940000005,370726.40299999993,404055.693
Bolton,370726.40299999993,404055.693,370769.9060000004,404202.1870000009
Bolton,370769.9060000004,404202.1870000009,370802.5939999996,404205.1870000009
Bolton,370802.5939999996,404205.1870000009,370846.1129999999,404346.4470000006
Bolton,370808.3119999999,404480.0,370846.1129999999,404346.4470000006
Bolton,370808.3119999999,404480.0,370831.7929999996,404610.4309999999
Bolton,370831.7929999996,404610.4309999999,370871.8119999999,404761.0
Bolton,370871.8119999999,404761.0,371063.5939999996,404908.9059999995
Bolton,371063.5939999996,404908.9059999995,371124.5939999996,405142.3120000009
Bolton,371124.5939999996,405142.3120000009,371219.9060000004,405116.693
Bolton,366475.40299999993,404690.4049999993,366495.9060000004,404800.2809999995
Bolton,366495.9060000004,404800.2809999995,366564.8119999999,404790.0940000005
Bolton,366564.8119999999,404790.0940000005,366571.90699999966,404820.1870000009
Bolton,366571.90699999966,404820.1870000009,366613.1869999999,404812.807
Bolton,366612.8119999999,404782.3120000009,366613.1869999999,404812.807
Bolton,366612.8119999999,404782.3120000009,366737.8136,404765.3129999992
Bolton,366737.8136,404765.3129999992,366764.0939999996,404712.0
Bolton,366764.0939999996,404712.0,366815.4060000004,404696.09300000034
Bolton,366815.4060000004,404696.09300000034,366943.2139999997,404722.7359999996
Bolton,366943.2139999997,404722.7359999996,366943.5949999997,404722.693
Bolton,366943.5949999997,404722.693,367017.5,404712.0
Bolton,367017.5,404712.0,367087.5,404648.8120000009
Bolton,367087.5,404648.8120000009,367197.9924999997,404609.2550000008
Bolton,367192.1909999997,404563.3680000007,367197.9924999997,404609.2550000008
Bolton,367192.1909999997,404563.3680000007,367418.8770000003,404492.4379999992
Bolton,367418.8770000003,404492.4379999992,367610.0,404434.5
Bolton,367610.0,404434.5,367649.1469999999,404325.2430000007
Bolton,367649.1469999999,404325.2430000007,367810.18599999975,404271.8100000005
Bolton,367810.18599999975,404271.8100000005,367972.0,404226.602
Bolton,367972.0,404226.602,368191.0939999996,404187.0940000005
Bolton,368191.0939999996,404187.0940000005,368361.3779999996,404200.4670000002
Bolton,368361.3779999996,404200.4670000002,368385.8849999998,404199.3530000001
